Acción: agregar | Producto: arroz | Datos: {'accion': 'agregar', 'producto': 'Arroz', 'cantidad': 5, 'tipo': 'Por definir', 'marca': 'Por definir', 'fecha_ingreso': 'Por definir', 'fecha_caducidad': 'Por definir'}
Acción: agregar | Producto: harina | Datos: {'accion': 'agregar', 'producto': 'Harina', 'cantidad': 10, 'tipo': 'Alimento', 'marca': 'PAN', 'fecha_ingreso': '2026-06-07', 'fecha_caducidad': '2026-12-12'}
Acción: eliminar | Producto: harina | Datos: {'accion': 'eliminar', 'producto': 'harina', 'cantidad': 2}
Acción: agregar | Producto: pasta | Datos: {'accion': 'agregar', 'producto': 'pasta', 'cantidad': 5, 'tipo': 'Alimento', 'marca': 'Horizonte', 'fecha_ingreso': 'Por definir', 'fecha_caducidad': 'Por definir'}
Acción: editar | Producto: arroz | Datos: {'accion': 'editar', 'producto': 'arroz', 'campo': 'marca', 'valor': 'Mary'}
Acción: error | Producto:  | Datos: {'accion': 'error', 'producto': '', 'cantidad': 0}
Acción: consultar | Producto: arroz | Datos: {'accion': 'consultar', 'producto': 'arroz'}
Acción: agregar | Producto: detergente | Datos: {'accion': 'agregar', 'producto': 'Detergente', 'cantidad': 6, 'tipo': 'Limpieza', 'marca': 'Ace', 'fecha_ingreso': '07-06-2026', 'fecha_caducidad': '05-05-2027'}
Acción: consultar | Producto: pasta | Datos: {'accion': 'consultar', 'producto': 'pasta'}
Acción: consultar | Producto: detergente | Datos: {'accion': 'consultar', 'producto': 'detergente'}
Acción: eliminar | Producto: arroz | Datos: {'accion': 'eliminar', 'producto': 'arroz'}
Acción: agregar | Producto: arroz | Datos: {'accion': 'agregar', 'producto': 'Arroz', 'cantidad': 10, 'tipo': 'Alimento', 'marca': 'Mary', 'fecha_ingreso': 'Por definir', 'fecha_caducidad': 'Por definir'}
Acción: editar | Producto: arroz | Datos: {'accion': 'editar', 'producto': 'arroz', 'campo': 'fecha_caducidad', 'valor': '2026-06-29'}
Acción: error | Producto:  | Datos: {'accion': 'error', 'producto': '', 'cantidad': 0}
Acción: editar | Producto: arroz | Datos: {'accion': 'editar', 'producto': 'arroz', 'campo': 'fecha_ingreso', 'valor': '7-6-2026'}
Acción: agregar | Producto: leche | Datos: {'accion': 'agregar', 'producto': 'Leche', 'cantidad': 10, 'tipo': 'Lácteo', 'marca': 'Los Andes', 'fecha_ingreso': '2026-06-07', 'fecha_caducidad': '2026-06-05'}
Acción: editar | Producto: arroz | Datos: {'accion': 'editar', 'producto': 'arroz', 'campo': 'fecha_ingreso', 'valor': '2026-06-07'}
Acción: editar | Producto: detergente | Datos: {'accion': 'editar', 'producto': 'detergente', 'campo': 'fecha_ingreso', 'valor': '2026-06-07'}
Acción: eliminar | Producto: pasta | Datos: {'accion': 'eliminar', 'producto': 'pasta'}
Acción: agregar | Producto: pasta | Datos: {'accion': 'agregar', 'producto': 'Pasta', 'cantidad': 10, 'tipo': 'Alimento', 'marca': 'Horizonte', 'fecha_ingreso': 'Por definir', 'fecha_caducidad': 'Por definir'}
Acción: agregar | Producto: salsa | Datos: {'accion': 'agregar', 'producto': 'Salsa', 'cantidad': 1, 'tipo': 'Por definir', 'marca': 'Por definir', 'fecha_ingreso': '2023-03-16', 'fecha_caducidad': 'Por definir'}
Acción: consultar | Producto: arroz | Datos: {'accion': 'consultar', 'producto': 'arroz'}
